Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4358646,-110.254326,87.03571428571429,6398.171,0.33962023,0.00029982434,0.19994144,0.00049971306,0.8214285714285714,0.8214285714285714,1.0
10000,1.4566321,0.63511056,83.73684210526316,6.2379966,0.29198012,0.00029954917,0.19984971,0.0004992637,0.9824561403508771,0.9824561403508771,1.0
15000,1.4843677,-0.87121755,80.16666666666667,34.04965,0.299045,0.00029924492,0.19974828,0.0004987666,1.0,1.0,1.0
20000,1.5053453,-4.5890093,80.13559322033899,58.26012,0.29446808,0.00029895315,0.19965103,0.0004982902,1.0,1.0,1.0
25000,1.5318031,12.0012455,80.13559322033899,330.88684,0.32701537,0.00029866124,0.19955376,0.00049781345,1.0,1.0,1.0
30000,1.5712796,0.1853351,80.16666666666667,14.739474,0.27044073,0.00029836284,0.19945428,0.00049732596,1.0,1.0,1.0
35000,1.630662,0.85278785,80.16666666666667,4.1452513,0.2777241,0.00029804892,0.19934964,0.00049681327,1.0,1.0,1.0
40000,1.6743028,0.60993123,98.59183673469387,15.237514,0.29448584,0.00029773967,0.19924654,0.000496308,0.82,0.82,1.0
45000,1.6988553,1.3662868,80.18333333333334,32.891388,0.26443186,0.00029743576,0.19914526,0.00049581175,1.0,1.0,1.0
50000,1.7299829,1.0329448,80.2,3.5057542,0.29626644,0.0002971535,0.19905119,0.00049535075,1.0,1.0,1.0
55000,1.7565598,-10.92358,98.67307692307692,89.67295,0.3049093,0.0002968333,0.19894442,0.00049482775,0.40384615384615385,0.40384615384615385,1.0
60000,1.7666324,-4.9451213,69.31147540983606,17.762127,0.31887028,0.00029655526,0.19885173,0.00049437355,0.14492753623188406,0.14492753623188406,1.0
65000,1.7797894,0.5537646,87.41176470588235,3.4483511,0.3088586,0.0002962489,0.19874963,0.0004938732,0.847457627118644,0.847457627118644,1.0
70000,1.8047147,-3.5681448,80.16666666666667,192.13406,0.32592502,0.0002959497,0.1986499,0.0004933845,1.0,1.0,1.0
75000,1.8437201,-2.3415873,80.15151515151516,55.610737,0.3201765,0.00029565158,0.19855054,0.0004928976,1.0,1.0,1.0
80000,1.9026529,-1.1867105,107.26829268292683,5.559751,0.3239724,0.00029536165,0.19845386,0.00049242395,0.8163265306122449,0.8163265306122449,1.0
85000,1.9261832,0.92417413,95.62,3.5275364,0.28955665,0.00029503772,0.19834588,0.0004918949,0.2,0.2,1.0
90000,1.9344302,0.018491397,77.74285714285715,3.7419689,0.2552568,0.00029474453,0.19824816,0.000491416,0.14084507042253522,0.14084507042253522,1.0
95000,1.9573553,0.046707086,69.15492957746478,1.1413505,0.29563925,0.00029444648,0.19814883,0.0004909293,0.15492957746478872,0.15492957746478872,1.0
100000,1.9949324,-0.17030247,73.02941176470588,1.1928906,0.2834094,0.00029415035,0.1980501,0.0004904455,0.14705882352941177,0.14705882352941177,1.0
105000,2.0298443,0.032074265,69.1,2.985434,0.28894603,0.00029385046,0.19795014,0.0004899558,0.14285714285714285,0.14285714285714285,1.0
110000,2.0707922,0.37123495,68.91780821917808,2.7487845,0.2703335,0.00029355104,0.19785033,0.0004894666,0.136986301369863,0.136986301369863,1.0
115000,2.1050973,-0.17911288,69.31428571428572,3.0794933,0.33203536,0.0002932442,0.19774806,0.0004889654,0.14285714285714285,0.14285714285714285,1.0
120000,2.1174278,0.40915647,68.91780821917808,2.6577582,0.26622018,0.00029295732,0.19765243,0.0004884969,0.14285714285714285,0.14285714285714285,1.0
125000,2.1261256,0.23506999,72.14925373134328,1.0600362,0.27976745,0.000292656,0.19755201,0.00048800473,0.14705882352941177,0.14705882352941177,1.0
