Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4352511,-20.611742,87.33928571428571,5381.069,0.33099517,0.00029981718,0.19993907,0.0004997014,0.9821428571428571,0.9821428571428571,1.0
10000,1.4713491,-0.53641075,80.16949152542372,3.9530258,0.32426777,0.00029952897,0.199843,0.00049923063,0.9152542372881356,0.9152542372881356,1.0
15000,1.5099858,-10.111177,79.64912280701755,280.1432,0.29772767,0.00029924623,0.19974875,0.0004987688,0.9482758620689655,0.9482758620689655,1.0
20000,1.530686,-5.7968755,107.49019607843137,84.66325,0.27730742,0.00029894544,0.19964845,0.00049827754,0.4117647058823529,0.4117647058823529,1.0
25000,1.5663682,0.01863101,74.27868852459017,1.9178494,0.2719101,0.00029864052,0.19954681,0.00049777946,0.08196721311475409,0.08196721311475409,1.0
30000,1.5827186,-0.9758066,94.1896551724138,27.983288,0.29060557,0.0002983527,0.1994509,0.00049730943,0.9038461538461539,0.9038461538461539,1.0
35000,1.6152545,-3.4346716,92.49056603773585,69.71526,0.30363253,0.00029805698,0.19935235,0.00049682637,0.38596491228070173,0.38596491228070173,1.0
40000,1.6292918,-8.35465,68.09722222222223,38.51901,0.3004965,0.00029774947,0.1992498,0.00049632404,0.08108108108108109,0.08108108108108109,1.0
45000,1.6548519,-6.1461425,68.56944444444444,10.58377,0.27238408,0.00029745247,0.19915082,0.00049583905,0.056338028169014086,0.056338028169014086,1.0
50000,1.680336,-9.08704,68.47142857142858,50.786167,0.2999643,0.0002971449,0.1990483,0.0004953367,0.07042253521126761,0.07042253521126761,1.0
55000,1.7142065,-15.299813,69.94202898550725,49.385372,0.27974102,0.00029685095,0.1989503,0.00049485656,0.043478260869565216,0.043478260869565216,1.0
