Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5000,1.4582695,17.773722627737225,-4.9219284,0.10048872319267209,0.10048872319267209,806.99493,0.29503426,0.00029846214,0.19948736,0.0004974882,1.0
10000,1.4923575,17.6425855513308,-0.8746119,0.10070895656609713,0.10070895656609713,19.685478,0.29866183,0.00029550432,0.19850144,0.000492657,1.0
15000,1.5204103,26.783333333333335,-1.4885904,0.07620879225842245,0.07620879225842245,45.933067,0.30981326,0.00029237772,0.19745922,0.0004875502,1.0
20000,1.5787032,33.34306569343066,-0.13391587,0.07726618813739407,0.07726618813739407,3.8444052,0.32217765,0.00028946216,0.19648737,0.00048278813,1.0
25000,1.6159941,39.02307692307692,0.17765972,0.03610687071585473,0.03610687071585473,40.411537,0.31637487,0.00028648827,0.19549608,0.0004779308,1.0
30000,1.6253607,35.29197080291971,-0.21000735,0.033065693874428745,0.033065693874428745,13.4646225,0.2934851,0.0002834679,0.1944893,0.0004729975,1.0
35000,1.6522657,35.74814814814815,0.26332653,0.03257352984784281,0.03257352984784281,6.3419027,0.28148985,0.0002804888,0.19349626,0.00046813168,1.0
40000,1.6968895,35.61029411764706,0.32966673,0.033065693874428745,0.033065693874428745,12.790909,0.28241768,0.00027752816,0.19250938,0.00046329596,1.0
45000,1.7411555,35.625,-0.3014469,0.03233576685625271,0.03233576685625271,10.501965,0.30251697,0.00027448442,0.19149481,0.00045832453,1.0
50000,1.7759184,34.857142857142854,0.43156725,0.04325925983764507,0.04325925983764507,15.517405,0.31271178,0.00027153673,0.19051223,0.00045350994,1.0
55000,1.8247324,19.300395256916996,-0.016763115,0.10059288674192467,0.10059288674192467,17.07002,0.2847234,0.00026845437,0.18948479,0.00044847548,1.0
60000,1.8826576,17.677902621722847,0.022985825,0.1006716431410455,0.1006716431410455,48.860714,0.28969797,0.00026549367,0.18849789,0.00044363967,1.0
65000,1.9446504,17.662921348314608,0.16852202,0.1006716431410455,0.1006716431410455,3.592229,0.27956784,0.00026250316,0.18750104,0.00043875517,1.0
70000,1.9860703,17.66417910447761,-0.24667734,0.1006716431410455,0.1006716431410455,12.714896,0.29298803,0.00025947927,0.18649308,0.00043381614,1.0
75000,2.0358267,17.674157303370787,0.37812057,0.10063670547713947,0.10063670547713947,11.717035,0.32124266,0.00025648877,0.18549624,0.00042893158,1.0
80000,2.0888991,17.654135338345863,0.20516998,0.1006716431410455,0.1006716431410455,42.89864,0.304577,0.0002535104,0.18450345,0.00042406694,1.0
85000,2.1311374,17.682835820895523,0.20048124,0.1006716431410455,0.1006716431410455,6.99021,0.27060634,0.00025051925,0.1835064,0.00041918142,1.0
90000,2.1614923,17.64814814814815,-0.54056895,0.10059701629094224,0.10059701629094224,16.945929,0.4110482,0.00024749522,0.1824984,0.00041424215,1.0
95000,2.1693926,17.678030303030305,0.047875874,0.10074626999114876,0.10074626999114876,8.849275,0.29141086,0.00024450486,0.18150161,0.00040935783,1.0
100000,2.1794486,17.65671641791045,0.38566515,0.1005597028658906,0.1005597028658906,8.833492,0.27090293,0.00024151438,0.1805048,0.0004044734,1.0
105000,2.200492,17.676579925650557,-0.6969773,0.10078358341620039,0.10078358341620039,17.96819,0.30366483,0.0002384905,0.17949681,0.00039953442,1.0
110000,2.2467782,17.670454545454547,1.1255018,0.10056179912572497,0.10056179912572497,37.43654,0.2827761,0.0002355,0.1785,0.00039464998,1.0
115000,2.2848117,17.65917602996255,-0.14586124,0.10078358341620039,0.10078358341620039,3.235163,0.2665104,0.00023250969,0.17750324,0.0003897657,1.0
120000,2.3202224,17.676579925650557,0.13097334,0.10052238944083897,0.10052238944083897,11.144739,0.6161343,0.0002294856,0.1764952,0.00038482642,1.0
125000,2.3229246,17.65530303030303,0.1615352,0.10078358341620039,0.10078358341620039,0.58547455,0.2772766,0.00022649526,0.1754984,0.00037994215,1.0
130000,2.3242514,17.68045112781955,0.24377982,0.1005597028658906,0.1005597028658906,30.717302,0.27443853,0.00022350486,0.17450161,0.0003750579,1.0
135000,2.3321023,17.64814814814815,0.16905782,0.10078358341620039,0.10078358341620039,1.2700803,0.26373398,0.00022048083,0.1734936,0.00037011865,1.0
140000,2.3467,17.6793893129771,-0.06577263,0.10056179912572497,0.10056179912572497,4.3617053,0.27347323,0.0002174905,0.17249681,0.00036523436,1.0
145000,2.3717813,17.661654135338345,-0.09055132,0.10074626999114876,0.10074626999114876,58.35611,0.29066288,0.0002145,0.1715,0.00036034995,1.0
150000,2.3938258,17.670411985018728,-0.0055486728,0.10059701629094224,0.10059701629094224,0.8944836,0.2652769,0.00021150973,0.17050323,0.00035546577,1.0
155000,2.4337802,17.671641791044777,-0.42955333,0.10074626999114876,0.10074626999114876,9.725343,0.26316732,0.00020851921,0.16950639,0.0003505813,1.0
160000,2.484287,17.665413533834588,0.22701284,0.10059701629094224,0.10059701629094224,7.4889073,0.27667907,0.00020549467,0.1684982,0.00034564122,1.0
165000,2.5387795,17.672932330827066,0.12562852,0.10074626999114876,0.10074626999114876,0.24524727,0.28147203,0.00020250381,0.16750126,0.00034075617,1.0
170000,2.5855594,17.655430711610485,0.25188947,0.10059701629094224,0.10059701629094224,12.953593,0.2950946,0.00019951345,0.16650447,0.00033587185,1.0
175000,2.628323,17.67924528301887,0.021287724,0.100711611828554,0.100711611828554,0.4666227,0.29812768,0.00019648945,0.16549647,0.0003309327,1.0
180000,2.6630843,17.65671641791045,0.22650641,0.10063432971599387,0.10063432971599387,4.5056767,0.2617761,0.00019349901,0.16449966,0.00032604832,1.0
185000,2.6784277,17.692592592592593,0.16524765,0.10070895656609713,0.10070895656609713,4.097751,0.26686886,0.0001904968,0.16349891,0.00032114465,1.0
190000,2.6922097,17.684410646387832,0.18788892,0.10059925230143223,0.10059925230143223,7.3841166,0.25584188,0.00018750405,0.16250135,0.00031625654,1.0
195000,2.7102308,17.931818181818183,0.14748552,0.10075471831380196,0.10075471831380196,0.29610744,0.2500216,0.00018450883,0.1615029,0.0003113643,1.0
200000,2.7407153,17.781954887218046,0.4995131,0.10056391114691146,0.10056391114691146,4.162556,0.28431234,0.00018149227,0.16049741,0.0003064373,1.0
205000,2.752491,17.660377358490567,0.3979811,0.1006716431410455,0.1006716431410455,5.610348,0.2628176,0.00017848115,0.1594937,0.00030151912,1.0
210000,2.7726667,17.67669172932331,0.19615716,0.10067415865284673,0.10067415865284673,7.9507003,0.26442182,0.00017549064,0.15849687,0.00029663462,1.0
215000,2.799524,17.831460674157302,0.07938828,0.10063909910115085,0.10063909910115085,1.1196462,0.28762475,0.00017252033,0.15750676,0.0002917831,1.0
220000,2.8129017,17.878326996197718,0.15628716,0.10060377494906479,0.10060377494906479,6.611455,0.24114637,0.00016951168,0.15650387,0.00028686895,1.0
225000,2.8256543,17.90530303030303,0.026368719,0.1007196983096726,0.1007196983096726,9.808894,0.2644968,0.00016650368,0.15550119,0.00028195587,1.0
230000,2.8397102,17.861423220973784,0.09905598,0.10064151079024909,0.10064151079024909,0.08759796,0.2543818,0.00016348953,0.15449649,0.00027703276,1.0
235000,2.8621752,17.695817490494296,0.10450119,0.1006716431410455,0.1006716431410455,0.28921908,0.2796474,0.00016048527,0.15349506,0.00027212582,1.0
240000,2.8763738,18.28793774319066,0.042509712,0.10019305155659275,0.10019305155659275,5.776759,0.27571678,0.00015749631,0.15249875,0.0002672439,1.0
245000,2.896966,18.333333333333332,-0.17177898,0.09984556119529436,0.09984556119529436,3.5265198,0.25678483,0.0001544773,0.15149242,0.00026231277,1.0
250000,2.9149828,17.795454545454547,0.054060794,0.10071428705539022,0.10071428705539022,0.2993096,0.274308,0.0001514661,0.15048869,0.00025739448,1.0
255000,2.9410791,17.833333333333332,0.02712593,0.10075471831380196,0.10075471831380196,1.7170764,0.25465298,0.00014846948,0.14948982,0.0002525,1.0
260000,2.9664204,18.00383141762452,0.16023213,0.10068441199372477,0.10068441199372477,3.0948827,0.2827905,0.00014546978,0.1484899,0.00024760052,1.0
265000,2.974386,17.79245283018868,0.060629208,0.10063909910115085,0.10063909910115085,0.061993983,0.25450215,0.00014247723,0.1474924,0.00024271273,1.0
270000,2.9894457,17.825095057034222,0.19603987,0.10071428705539022,0.10071428705539022,4.4364758,0.25108206,0.00013949464,0.14649819,0.00023784112,1.0
275000,3.0048866,18.0,0.3849647,0.10053232077070062,0.10053232077070062,5.3031435,0.2473914,0.00013649472,0.14549822,0.00023294125,1.0
280000,3.0131407,17.89138576779026,0.08276971,0.10071698247261768,0.10071698247261768,0.09025275,0.2462907,0.00013348619,0.14449538,0.0002280273,1.0
285000,3.026985,17.818181818181817,-0.020836249,0.10056391114691146,0.10056391114691146,2.6000175,0.25910744,0.00013048538,0.1434951,0.00022312602,1.0
290000,3.0474927,17.68796992481203,0.009534639,0.10059925230143223,0.10059925230143223,1.5568249,0.25677764,0.00012750392,0.14250126,0.00021825632,1.0
295000,3.0685658,17.66542750929368,0.02466176,0.10070895656609713,0.10070895656609713,2.0852776,0.25393504,0.00012450751,0.14150248,0.00021336217,1.0
