Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5000,1.4231265,168.48275862068965,0.09801507,-0.6025517151273531,-0.6025517151273531,0.37642136,0.2475529,0.00029992266,0.19997421,0.0004998737,1.0
10000,1.4124048,99.94,0.14032476,-0.3502799940109253,-0.3502799940109253,0.33843762,0.24648038,0.00029977597,0.19992532,0.0004996341,1.0
15000,1.4137309,100.48,0.33466047,0.17365305885976676,0.17365305885976676,0.2270304,0.24002674,0.00029962463,0.19987488,0.0004993869,1.0
20000,1.4069797,88.98181818181818,0.074147165,-0.6342142916151455,-0.6342142916151455,0.3697589,0.24892268,0.00029947778,0.19982593,0.000499147,1.0
25000,1.4065573,82.73333333333333,0.5879044,0.3647457573373439,0.3647457573373439,0.2800632,0.24363011,0.00029932515,0.19977504,0.00049889775,1.0
30000,1.3973217,77.09375,0.5477485,0.2732031112536788,0.2732031112536788,0.25487474,0.24130659,0.0002991755,0.19972515,0.00049865333,1.0
35000,1.3900132,62.58441558441559,-1.1465597,-1.8651282107218718,-1.8651282107218718,0.12348086,0.23917745,0.0002990251,0.19967501,0.0004984077,1.0
40000,1.3851367,162.38709677419354,-0.21964805,-0.6941935576258167,-0.6941935576258167,0.06706041,0.24473569,0.00029887355,0.19962451,0.00049816014,1.0
45000,1.3649017,358.61538461538464,-0.16568899,-0.8770769138175708,-0.8770769138175708,0.02067661,0.25312743,0.00029872436,0.19957477,0.0004979165,1.0
50000,1.3493975,2910.0,-0.030354947,-2.874000072479248,-2.874000072479248,0.019889215,0.24105035,0.0002985739,0.19952464,0.00049767067,1.0
55000,1.3464129,738.1428571428571,-0.03196571,-0.5074285737105778,-0.5074285737105778,0.019836117,0.24355936,0.00029842404,0.19947468,0.0004974259,1.0
60000,1.3476388,None,-0.0043265168,None,None,1.5038285e-05,0.24859467,0.00029827608,0.19942535,0.0004971843,1.0
65000,1.3396304,None,-0.001029748,None,None,2.703231e-06,0.24895374,0.0002981263,0.19937545,0.00049693964,1.0
70000,1.3411095,None,-0.001508069,None,None,3.846802e-06,0.24686523,0.0002979766,0.19932553,0.00049669505,1.0
75000,1.3437796,None,-0.0012818838,None,None,2.864396e-06,0.24404445,0.0002978268,0.1992756,0.00049645046,1.0
80000,1.3226911,12469.0,-0.02145591,-5.741000294685364,-5.741000294685364,0.09472075,0.24106398,0.00029767543,0.19922514,0.0004962032,1.0
85000,1.312104,4869.0,-0.011070341,-3.4609999656677246,-3.4609999656677246,0.010336936,0.23750359,0.00029752398,0.19917464,0.0004959558,1.0
90000,1.2982681,None,-0.0016728147,None,None,6.3350367e-06,0.24872994,0.00029737412,0.19912471,0.00049571105,1.0
95000,1.2847956,None,-0.00059599074,None,None,1.2722169e-06,0.2352752,0.00029722435,0.19907477,0.00049546646,1.0
100000,1.2770158,4361.5,-0.014341091,-2.808750055730343,-2.808750055730343,0.10980797,0.24383557,0.0002970736,0.19902451,0.00049522024,1.0
105000,1.2601291,1445.0,-0.05449619,-2.4336666266123452,-2.4336666266123452,0.04424611,0.24196525,0.00029692482,0.1989749,0.00049497717,1.0
110000,1.2468891,1412.0,-0.0047822655,-2.4240000247955322,-2.4240000247955322,0.004085422,0.23910493,0.000296776,0.19892533,0.0004947341,1.0
115000,1.2459416,None,-0.00015161608,None,None,7.3826254e-06,0.24756326,0.00029662624,0.19887541,0.00049448956,1.0
120000,1.2315907,None,-0.0026920028,None,None,6.0645075e-06,0.24957784,0.00029647647,0.1988255,0.0004942449,1.0
125000,1.2220829,8988.5,-0.0077121393,-3.697000026702881,-3.697000026702881,0.12515485,0.2532139,0.00029632595,0.19877532,0.00049399905,1.0
130000,1.2173972,1033.0,-0.06180227,-2.3100000619888306,-2.3100000619888306,0.007347046,0.2488965,0.00029617466,0.1987249,0.0004937519,1.0
135000,1.2014043,None,0.0034665454,None,None,8.458651e-06,0.24811234,0.0002960248,0.19867495,0.0004935072,1.0
140000,1.1699824,None,0.0019911104,None,None,3.6975857e-06,0.25177526,0.00029587507,0.19862503,0.0004932626,1.0
145000,1.1372821,None,-0.00024414029,None,None,9.5227927e-07,0.24503116,0.00029572533,0.19857511,0.00049301796,1.0
150000,1.1204622,None,1.0174696e-05,None,None,5.5876274e-07,0.2506878,0.00029557556,0.19852519,0.0004927734,1.0
155000,1.1082686,None,-0.0021052922,None,None,1.5287621e-06,0.24459343,0.0002954258,0.19847526,0.0004925287,1.0
160000,1.0796623,None,-0.0018559545,None,None,8.733138e-07,0.24180518,0.00029527603,0.19842532,0.0004922842,1.0
165000,1.0581279,13074.333333333334,-0.045700785,-7.593500256538391,-7.593500256538391,0.7860242,0.2448607,0.00029512466,0.19837487,0.0004920369,1.0
170000,1.0640061,163.0,-0.015369296,-0.12514286248811654,-0.12514286248811654,0.0008409482,0.24990807,0.00029497402,0.19832467,0.0004917908,1.0
175000,1.0629047,None,-0.01250928,None,None,4.2701282e-05,0.24905208,0.0002948243,0.19827475,0.00049154635,1.0
180000,1.0356174,11437.0,-0.010151356,-5.431000232696533,-5.431000232696533,0.13504043,0.24570072,0.00029467483,0.19822493,0.0004913021,1.0
185000,1.029924,326.17391304347825,-0.031550713,-0.09817391828350398,-0.09817391828350398,0.0037786402,0.25981474,0.000294524,0.19817467,0.00049105583,1.0
190000,1.0274329,90.68518518518519,-0.019633558,-0.027500000678830676,-0.027500000678830676,1.1542053e-05,0.24591725,0.00029437538,0.19812511,0.00049081305,1.0
195000,1.0141884,251.2,-0.041557536,-0.17565000439062714,-0.17565000439062714,0.018380119,0.2537292,0.00029422517,0.19807503,0.00049056776,1.0
200000,0.9964821,116.375,-0.009056766,-0.03525000112131238,-0.03525000112131238,7.322483e-06,0.23891973,0.0002940752,0.19802508,0.0004903228,1.0
205000,0.9852507,None,0.0009181511,None,None,2.7457895e-06,0.24015526,0.00029392354,0.19797452,0.0004900751,1.0
210000,0.9764909,2184.0,-0.1363737,-2.155499974886576,-2.155499974886576,0.056522213,0.24225192,0.00029377523,0.19792506,0.0004898329,1.0
215000,0.9642384,1375.0,-0.0024358071,-0.4130000174045563,-0.4130000174045563,0.00034394147,0.24357922,0.00029362537,0.19787513,0.00048958807,1.0
220000,0.9465396,None,-0.00034286044,None,None,1.1447071e-06,0.2457694,0.00029347552,0.19782518,0.00048934337,1.0
