Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5000,1.4220877,44.69090909090909,-3.6829262,-2.0136697139215034,-2.0136697139215034,91.78284,0.30204037,0.0002999191,0.19997302,0.00049986783,1.0
10000,1.4278613,35.35036496350365,-1.6982702,-2.010912381819565,-2.010912381819565,0.07732092,0.33212757,0.00029977493,0.19992498,0.0004996324,1.0
15000,1.4422301,35.81617647058823,-1.6763508,-2.010897035107893,-2.010897035107893,0.16433312,0.37469956,0.0002996259,0.1998753,0.00049938896,1.0
20000,1.4475883,35.80597014925373,-1.6162436,-2.0111690917435814,-2.0111690917435814,0.23106194,0.27146643,0.00029947684,0.19982561,0.0004991455,1.0
25000,1.4494992,34.985074626865675,-1.6719909,-2.010798482752558,-2.010798482752558,0.09011585,0.6382295,0.00029932504,0.19977501,0.0004988975,1.0
30000,1.4586498,39.336283185840706,-1.6308949,-2.012070778196892,-2.012070778196892,0.1875348,0.2415467,0.00029917297,0.19972432,0.00049864914,1.0
35000,1.4592088,46.719298245614034,-1.6671256,-2.0143217231916344,-2.0143217231916344,0.18318577,0.24677482,0.00029902466,0.19967489,0.00049840694,1.0
40000,1.4594408,36.586776859504134,-1.6127365,-2.011289235974146,-2.011289235974146,0.046963084,0.27048343,0.0002988745,0.19962484,0.00049816165,1.0
45000,1.4632308,41.39230769230769,-1.6358172,-2.0127153616685134,-2.0127153616685134,0.04839972,0.27369747,0.00029872498,0.19957499,0.0004979174,1.0
50000,1.4753791,38.56349206349206,-1.7663697,-2.011850372074157,-2.011850372074157,0.21388108,0.29168627,0.00029857302,0.19952433,0.0004976693,1.0
55000,1.4963949,37.38059701492537,-1.6443086,-2.0115378535155095,-2.0115378535155095,0.047459763,0.30657777,0.00029842358,0.19947456,0.0004974252,1.0
60000,1.5093893,39.203252032520325,-1.6789842,-2.0120322338996397,-2.0120322338996397,0.12636372,0.31312928,0.00029827378,0.19942461,0.00049718056,1.0
65000,1.5171971,38.20967741935484,-1.6680285,-2.0117539451235817,-2.0117539451235817,0.008588028,0.31715348,0.00029812532,0.19937511,0.000496938,1.0
70000,1.5321553,37.92913385826772,-1.6978645,-1.9621044237782637,-1.9621044237782637,0.22651245,0.34774467,0.00029797514,0.19932505,0.0004966927,1.0
75000,1.5415415,46.351851851851855,-1.4294955,-2.0141467829363062,-2.0141467829363062,0.3054919,0.38385054,0.0002978255,0.19927517,0.0004964483,1.0
80000,1.5468919,45.08411214953271,-1.6062144,-2.0138317736509803,-2.0138317736509803,0.026488548,0.2968875,0.00029767383,0.19922462,0.00049620064,1.0
85000,1.5462697,41.86086956521739,-1.4809473,-2.0128448071150946,-2.0128448071150946,0.271983,0.3060147,0.00029752674,0.19917558,0.00049596035,1.0
90000,1.5464501,38.192,-1.6353557,-2.0117919788360594,-2.0117919788360594,0.021843836,0.28376642,0.0002973754,0.19912511,0.00049571315,1.0
95000,1.5589637,36.30252100840336,-1.6360289,-2.011183305581411,-2.011183305581411,0.02627724,0.31134462,0.00029722392,0.19907461,0.00049546576,1.0
100000,1.5642763,43.048,-1.6301103,-2.0132239780426024,-2.0132239780426024,0.034801994,0.3190804,0.0002970725,0.19902416,0.0004952184,1.0
105000,1.5697542,39.53968253968254,-1.6067275,-2.0121679725646975,-2.0121679725646975,0.066706724,0.28735045,0.0002969265,0.19897547,0.0004949799,1.0
110000,1.5788659,39.604838709677416,-1.6588621,-2.012167978286743,-2.012167978286743,0.01119252,0.28468624,0.00029677592,0.19892532,0.0004947339,1.0
115000,1.5907224,37.03252032520325,-1.6376078,-2.0113983503202113,-2.0113983503202113,0.026125805,0.30297777,0.0002966244,0.1988748,0.00049448654,1.0
120000,1.605252,40.41085271317829,-1.6196549,-2.0124531015753746,-2.0124531015753746,0.015563323,0.29909667,0.0002964752,0.19882506,0.00049424276,1.0
125000,1.61213,35.73076923076923,-1.6457564,-2.01101524411267,-2.01101524411267,0.01604441,0.28449595,0.00029632493,0.198775,0.0004939974,1.0
130000,1.6183965,38.344,-1.6247171,-2.011779503559503,-2.011779503559503,0.0059319576,0.3314658,0.00029617557,0.19872516,0.0004937534,1.0
135000,1.6273192,34.890625,-1.5990248,-2.0107716312558632,-2.0107716312558632,0.020604443,0.30098727,0.0002960263,0.19867544,0.0004935096,1.0
140000,1.6324586,35.25409836065574,-1.6131568,-2.0108628772920176,-2.0108628772920176,0.01801497,0.30222794,0.00029587367,0.19862455,0.00049326033,1.0
145000,1.6491108,47.09016393442623,-1.5511594,-2.014429730817306,-2.014429730817306,0.021715002,0.32764322,0.00029572638,0.19857547,0.00049301976,1.0
150000,1.6624999,49.48543689320388,-1.5495889,-2.0151249926823835,-2.0151249926823835,0.07378894,0.29023924,0.00029557676,0.19852558,0.0004927754,1.0
