Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5000,1.4369553,25.3125,0.23880939,-2.576466837682222,-2.576466837682222,51.87174,0.33299246,0.00029992222,0.19997407,0.000499873,1.0
10000,1.4658492,39.41803278688525,-2.2306795,-2.688337412572676,-2.688337412572676,0.073266946,0.3068239,0.00029977632,0.19992545,0.00049963465,1.0
15000,1.4834248,43.5,-2.0718563,-2.656675010919571,-2.656675010919571,0.21197213,0.32126087,0.0002996246,0.19987486,0.0004993868,1.0
20000,1.4992015,42.93913043478261,-2.1251564,-2.6775902593344973,-2.6775902593344973,0.2786768,0.30178854,0.000299473,0.19982435,0.0004991392,1.0
25000,1.5140924,42.13793103448276,-2.161571,-2.6509749457753937,-2.6509749457753937,0.26371527,0.30976942,0.00029932134,0.19977376,0.0004988914,1.0
30000,1.5342194,41.58620689655172,-2.1824353,-2.697881751590305,-2.697881751590305,0.049769126,0.27454,0.0002991745,0.19972485,0.00049865176,1.0
35000,1.5490235,42.61739130434783,-2.231626,-2.6636237787163775,-2.6636237787163775,0.082362,0.3049781,0.0002990263,0.1996754,0.0004984095,1.0
40000,1.558655,42.81578947368421,-2.2074382,-2.69477557508569,-2.69477557508569,0.11241298,0.28773102,0.0002988765,0.19962549,0.00049816485,1.0
45000,1.5645589,40.33057851239669,-2.1654265,-2.675402909270988,-2.675402909270988,0.061157513,0.30699405,0.00029872614,0.19957536,0.00049791933,1.0
50000,1.5770442,36.81203007518797,-2.2265096,-2.626839350570332,-2.626839350570332,0.12156423,0.28969988,0.00029857663,0.19952555,0.0004976752,1.0
55000,1.5899261,42.37391304347826,-2.1753101,-2.6957392363712707,-2.6957392363712707,0.056754086,0.28159168,0.00029842436,0.1994748,0.00049742643,1.0
60000,1.6181523,37.82170542635659,-2.240219,-2.6582127921283245,-2.6582127921283245,0.068193816,0.28444162,0.000298274,0.19942465,0.00049718085,1.0
65000,1.63992,43.61607142857143,-2.1185,-2.686344383037196,-2.686344383037196,0.07187071,0.30274394,0.00029812483,0.19937494,0.00049693725,1.0
